"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"Australian Public Service Commission","57500809958",40260,"SA Productivity Placements Program","Limited tender","Education and Training Services","Education and Training Services",1,40260,40260,0,0,"TAFE SA (DFEEST)"
"Department of Immigration and Citizenship","57507607457",4984380,"Accommodation, Community Care and Welfare Services","Prequalified tender","Community and social services","Community and social services",4,11340452,2256072,0,9084380,"THE SALVATION ARMY"
"Department of Defence","57955011697",2010072.9,"PROVISION OF ELECTRICITY TO SITES IN WA","Limited tender","Utilities","Utilities",3,2323903.03,2323903.03,0,0,"HORIZON POWER"
"Department of Immigration and Citizenship","57955011697",55000,"Utilities Curtin IDC","Limited tender","Water and sewer utilities","Water and sewer utilities",1,55000,55000,0,0,"HORIZON POWER"
"National Capital Authority","58000205210",18445.9,"NCA Annual Report 2010-2011","Prequalified tender","Publication printing","Publication printing",2,32468.7,14022.8,0,18445.9,"Blue Star Print"
"Department of the House of Representatives","58000205210",33049.5,"Printing of HOR Prcatice","Limited tender","Printed publications","Printed publications",1,33049.5,33049.5,0,0,"Blue Star Print"
"Department of Veterans' Affairs","58000205210",113718,"Indigenous Service Education Resource - Primary and Secondary 2013","Open tender","Printed publications","Printed publications",9,363795.68,10271.8,202304.3,151219.58,"Blue Star Print"
"AusAid","58000205210",44000,"Printing of disability inclusive design - universal design guidelines for the Australian Aid Program","Limited tender","Graphic design","Printing",3,71586.4,71586.4,0,0,"Blue Star Print"
"Department of Families, Housing, Community Services and Indigenous Affairs","58000205210",20178,"Printing Services","Open tender","Publication printing","Promotional or advertising printing",4,60915.4,0,60915.4,0,"Blue Star Print"
"Australian Taxation Office","58000205210",43995.6,"Printing of NAT4367, introduction PAYG installments","Open tender","Printing","Printing",7,123815.4,0,123815.4,0,"Blue Star Print"
"Department of the Senate","58000205210",11618.2,"Blue Star Print Australian Pocket Constitution","Limited tender","Printed media","Printed media",1,11618.2,11618.2,0,0,"Blue Star Print"
"Australian Transaction Reports and Analysis Centre (AUSTRAC)","58000205210",10216.8,"Provision of Printing Services","Limited tender","Printing","Printing",1,10216.8,10216.8,0,0,"Blue Star Print"
"Australian Crime Commission","58000205210",12722.6,"Printing","Open tender","Printing","Printing",1,12722.6,0,12722.6,0,"Blue Star Print"
"Australian Public Service Commission","58000205210",14368.2,"Printing Program Manuals","Limited tender","Printing and publishing equipment","Printing",2,25342.71,14368.2,10974.51,0,"Blue Star Print"
"Department of Industry, Innovation, Science, Research and Tertiary Education","58000205210",1100000,"Printing services for 2012/13 Higher Ed Loan Publications","Open tender","Publication printing","Printing",8,1307023.19,86375.19,1220648,0,"Blue Star Print"
"Department of the Prime Minister and Cabinet","58000205210",65025,"Printing Services","Limited tender","Publication printing","Publication printing",3,127125,127125,0,0,"Blue Star Print"
"Australian Federal Police","58000205210",10238.8,"Platypus September edition 2012 printing","Limited tender","Publication printing","Publication printing",1,10238.8,10238.8,0,0,"Blue Star Print"
"Department of Health and Ageing","58000205210",231679.8,"NBCSP Reprinting of Consumer Resources","Prequalified tender","Printing","Printing",14,733277.31,20187.3,0,713090.01,"Blue Star Print"
"Department of Education Employment and Workplace Relations","58000205210",3e+07,"Print Production Services","Limited tender","Printing","Printing",16,32647433.73,30100384.35,2057049.38,490000,"Blue Star Print"
"Office of the Fair Work Building Industry Inspectorate","58000205210",10477.5,"Printing of Fact Sheets","Limited tender","Printing","Printing",1,10477.5,10477.5,0,0,"Blue Star Print"
"Department of Regional Australia, Local Government, Arts and Sport","58000205210",19869.3,"Printing of the winter edition of the National Portrait Gallery's magazine titled 'Portrait'","Limited tender","Promotional or advertising printing","News and publicity services",2,37094.2,19869.3,17224.9,0,"Blue Star Print"
"Department of Immigration and Citizenship","58000205210",10813,"Fact sheets printed in different languages","Prequalified tender","Printing","Printing",1,10813,0,0,10813,"Blue Star Print"
"Australian Communications and Media Authority (ACMA)","58000205210",15000,"Printing of ACMA's Annual Report 2011-12","Limited tender","Publication printing","Publication printing",1,15000,15000,0,0,"Blue Star Print"
"Department of Defence","58000205210",61327.2,"Print production manual","Limited tender","Publication printing","Publication printing",16,351663.6,173980.4,148408.9,29274.3,"Blue Star Print"
"Department of Agriculture Fisheries and Forestry","58000205210",16265.7,"Provision of printing services for the National Food Plan green paper","Limited tender","Printing","Graphic design",4,52568.45,31160.25,11189.2,10219,"Blue Star Print"
"Department of Broadband Communications and the Digital Economy","58000205210",27000,"Printing services","Limited tender","Electronic reference material","Printing",3,64000,64000,0,0,"Blue Star Print"
"Australian Customs and Border Protection Service","58000205210",14941.3,"125632 - Provision of Printing Services","Limited tender","Printing","Printing",1,14941.3,14941.3,0,0,"Blue Star Print"
"Department of Resources Energy and Tourism","58000205210",18000,"Provision of printing services for the Annual Report","Open tender","Printing and publishing equipment","Printing and publishing equipment",1,18000,0,18000,0,"Blue Star Print"
"National Archives of Australia","58000205210",10563.3,"Printing of 'Your Memento: highlights' publication","Limited tender","Printing and publishing equipment","Printing and publishing equipment",1,10563.3,10563.3,0,0,"Blue Star Print"
"Office of the Fair Work Ombudsman","58000205210",30000,"Media printed items.","Limited tender","Printing","Printing",3,60760.92,30000,30760.92,0,"Blue Star Print"
"Insolvency and Trustee Service Australia (ITSA)","58000205210",75000,"Printing","Limited tender","Printing and publishing equipment","Printing and publishing equipment",1,75000,75000,0,0,"Blue Star Print"
"National Health and Medical Research Council","58000205210",50000,"Printing 300 copies of Report to Parliament May 2012","Open tender","Publication printing","Publication printing",1,50000,0,50000,0,"Blue Star Print"
"Department of Infrastructure and Transport","58000205210",70000,"Sydney Aviation Printing Materials","Open tender","News and publicity services","News and publicity services",7,181106.7,0,181106.7,0,"Blue Star Print"
"Australian Securities and Investments Commission","58000205210",19582.2,"700,000 DLX envelopes, printed and prepared for Traralgon.","Prequalified tender","Printing","Printing",1,19582.2,0,0,19582.2,"Blue Star Print"
"Department of Human Services","58003666000",8616266,"Software maintenance services","Limited tender","Software maintenance and support","Software",2,8636792,8616266,0,20526,"Novell Pty Ltd"
"Department of Education Employment and Workplace Relations","58006212693",3900000,"Industry Specific Support for Redundant Tasmanian Forestry Workers","Limited tender","Employment services","Employment services",1,3900000,3900000,0,0,"Forestworks Ltd"
"Bureau of Meteorology","58006500616",207900,"Ceilometers","Open tender","Measuring and observing and testing instruments","Measuring and observing and testing instruments",14,1046916.2,320485,591593.2,134838,"Vaisala Pty Ltd"
"Department of Industry, Innovation, Science, Research and Tertiary Education","58006500616",29686.8,"Temperature Data loggers","Limited tender","Laboratory and scientific equipment","Laboratory and scientific equipment",1,29686.8,29686.8,0,0,"Vaisala Pty Ltd"
"Defence Materiel Organisation","58006500616",24288,"Purchase of Meteorlogical Equipment WTR","Limited tender","Electronic hardware and component parts and accessories","Measuring and observing and testing instruments",4,57194.4,45467.4,11727,0,"Vaisala Pty Ltd"
"Australian Electoral Commission","58008458099",124000,"Printing, Binding and Distribution services for the production of Division Finders","Prequalified tender","Printing","Printing",1,124000,0,0,124000,"Union Offset Co. Pty. Limited"
"Geoscience Australia","58008458099",28182,"Printing and mailout services for Queensland Floods and TC Yasi household survey including printing and mail out of pre-approach and reminder letters.","Open tender","Printing","Printing",2,38267.68,0,38267.68,0,"Union Offset Co. Pty. Limited"
"Australian Competition and Consumer Commission","58008458099",18524,"Reproduction services","Open tender","Reproduction services","Reproduction services",2,30701,0,30701,0,"Union Offset Co. Pty. Limited"
"Department of Industry, Innovation, Science, Research and Tertiary Education","58008458099",15103,"Food Processing Industry Report","Limited tender","Printing","Printing",3,43186,43186,0,0,"Union Offset Co. Pty. Limited"
"Department of Defence","58008458099",59191,"Magazine & information booklet for Defence family","Open tender","Printing","Printing",2,84370,25179,59191,0,"Union Offset Co. Pty. Limited"
"Department of Agriculture Fisheries and Forestry","58008458099",18964,"Printing of ABARES Fishery Status Report 2010.","Limited tender","Printing","Graphic design",2,31856,31856,0,0,"Union Offset Co. Pty. Limited"
"Department of Veterans' Affairs","58008458099",44253,"DVA Calendar 2013","Open tender","Printed publications","Printed publications",2,67584,0,44253,23331,"Union Offset Co. Pty. Limited"
"Royal Australian Mint","58008458099",750000,"Printing of Mint Issue and Related products","Open tender","Promotional or advertising printing","Promotional or advertising printing",3,1088800,0,1088800,0,"Union Offset Co. Pty. Limited"
"Australian Taxation Office","58008458099",227854,"Printing of NAT16524, ASU Qty: 1680000","Open tender","Printing","Printing",22,1216050,0,1216050,0,"Union Offset Co. Pty. Limited"
"Department of Health and Ageing","58008458099",280000,"Pritning of the 5 Steps kit and collateral","Prequalified tender","Printing","Printing",14,895456.1,0,0,895456.1,"Union Offset Co. Pty. Limited"
"Department of Human Services","58079538499",16482865.32,"Property Lease at Moreland, VIC","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,16482865.32,0,16482865.32,0,"Australian Unity Property Limted"
"Australian Communications and Media Authority (ACMA)","58093925207",345400,"Hunter Developer Project PACMAN","Open tender","Information technology consultation services","Information technology consultation services",10,1655100.55,0,1655100.55,0,"Avanade Australia Pty Ltd"
"Office of the Fair Work Ombudsman","58093925207",71985.1,"Reporting assistance with FWO application.","Limited tender","Information technology consultation services","Information technology consultation services",1,71985.1,71985.1,0,0,"Avanade Australia Pty Ltd"
"Department of Broadband Communications and the Digital Economy","58093925207",24200,"Professional services","Open tender","System administrators","System administrators",1,24200,0,24200,0,"Avanade Australia Pty Ltd"
"AusAid","58101674444",688412.88,"Corporate Services - IT Hardware","Open tender","Communications Devices and Accessories","Communications Devices and Accessories",1,688412.88,0,688412.88,0,"M5 Network Security Pty Ltd"
"Geoscience Australia","58101674444",30394.79,"Splunk Enterprise Annual License + Enterprise Support, 1 Year","Limited tender","Software","Software",1,30394.79,30394.79,0,0,"M5 Network Security Pty Ltd"
"Attorney-General's Department","58101674444",257835.6,"ASNET Deployable M5 professional service","Open tender","Enhanced telecommunications services","Communications Devices and Accessories",13,1307375.79,26501.75,1280874.04,0,"M5 Network Security Pty Ltd"
"Department of Defence","58101674444",435520.8,"Secure Communication support package","Limited tender","Communications Devices and Accessories","Communications Devices and Accessories",7,1444815.36,1304083.85,0,140731.51,"M5 Network Security Pty Ltd"
"Defence Materiel Organisation","58101674444",448800,"Mini-CATAPAN","Limited tender","Communications Devices and Accessories","Communications Devices and Accessories",1,448800,448800,0,0,"M5 Network Security Pty Ltd"
"Department of Human Services","58105151326",45650,"External Training","Open tender","Education and Training Services","Education and Training Services",3,76770.05,13636.78,63133.27,0,"Bendelta Pty Ltd"
"Australian Public Service Commission","58105151326",385000,"Design/Development/Delivery of Training","Open tender","Education and Training Services","Education and Training Services",2,474556.02,0,474556.02,0,"Bendelta Pty Ltd"
"Department of the Treasury","58105151326",18000,"Provision of Management Essentials Program for Treasury","Open tender","Education and Training Services","Education and Training Services",1,18000,0,18000,0,"Bendelta Pty Ltd"
"Australian Securities and Investments Commission","58105151326",302000,"Senior Manager Development Assessment Centre","Prequalified tender","Education and Training Services","Education and Training Services",5,377629.13,11499.13,64130,302000,"Bendelta Pty Ltd"
"IP Australia","58105151326",240540,"Management Leadership Programs 2012/2013","Open tender","Education and Training Services","Education and Training Services",1,240540,0,240540,0,"Bendelta Pty Ltd"
"Australian National Audit Office (ANAO)","58105151326",476520,"Leadership Programs - ELs and SES","Open tender","Education and Training Services","Education and Training Services",1,476520,0,476520,0,"Bendelta Pty Ltd"
"Australian Federal Police","58105151326",155647,"Provision of performance management training","Open tender","Education and Training Services","Education and Training Services",2,305647,0,305647,0,"Bendelta Pty Ltd"
"Australian Pesticides and Veterinary Medicines Authority","58107780683",19250,"Legal services","Limited tender","Legal services","Legal services",1,19250,19250,0,0,"GILLIAN BEAUMONT LEGAL"
"Department of Climate Change and Energy Efficiency","58107780683",19250,"Placement Fee - Internal Review Section","Open tender","Personnel recruitment","Personnel recruitment",1,19250,0,19250,0,"GILLIAN BEAUMONT LEGAL"
"Department of Industry, Innovation, Science, Research and Tertiary Education","58107780683",10037.75,"Permanent placement fee for lawyer","Limited tender","Legal services","Legal services",1,10037.75,10037.75,0,0,"GILLIAN BEAUMONT LEGAL"
"Office of the Fair Work Ombudsman","58107780683",38500,"Recruitment Services","Limited tender","Personnel recruitment","Personnel recruitment",1,38500,38500,0,0,"GILLIAN BEAUMONT LEGAL"
"Department of Veterans' Affairs","58107780683",117238,"Provision of administrative assistance","Open tender","Legal services","Legal services",9,767385,0,767385,0,"GILLIAN BEAUMONT LEGAL"
"Clean Energy Regulator","58107780683",27500,"Executive Recruitment Services","Open tender","Personnel recruitment","Personnel recruitment",1,27500,0,27500,0,"GILLIAN BEAUMONT LEGAL"
"Department of Regional Australia, Local Government, Arts and Sport","58107780683",22500,"SES question review","Limited tender","Legal services","Legal services",2,32756.4,32756.4,0,0,"GILLIAN BEAUMONT LEGAL"
"Department of Immigration and Citizenship","58107780683",38638.96,"Recruitment of professional legal officer","Limited tender","Personnel recruitment","Personnel recruitment",2,66138.96,38638.96,27500,0,"GILLIAN BEAUMONT LEGAL"
"Department of Infrastructure and Transport","58107780683",40000,"Procedure Development/Secretariat","Limited tender","Human resources services","Human resources services",3,90000,90000,0,0,"GILLIAN BEAUMONT LEGAL"
"Department of Families, Housing, Community Services and Indigenous Affairs","58107780683",33550,"SES Band 2 recruitment services","Limited tender","Personnel recruitment","Personnel recruitment",3,80850,80850,0,0,"GILLIAN BEAUMONT LEGAL"
"National Blood Authority","58107780683",16446.93,"Provision of Recruitment","Limited tender","Temporary personnel services","Temporary personnel services",1,16446.93,16446.93,0,0,"GILLIAN BEAUMONT LEGAL"
"Department of Sustainability, Environment, Water, Population and Communities","58107780683",85000,"Temporary Employment of Technical Staff","Open tender","Legal services","Legal services",2,103150,0,103150,0,"GILLIAN BEAUMONT LEGAL"
"Department of Education Employment and Workplace Relations","58107780683",28000,"Recruitment services","Limited tender","Temporary personnel services","Temporary personnel services",1,28000,28000,0,0,"GILLIAN BEAUMONT LEGAL"
"Department of Parliamentary Services","58107780683",27500,"Provision of recruitment services","Limited tender","Legal services","Legal services",1,27500,27500,0,0,"GILLIAN BEAUMONT LEGAL"
"Australian Electoral Commission","58107780683",15753.63,"Contract placement","Limited tender","Temporary personnel services","Temporary personnel services",1,15753.63,15753.63,0,0,"GILLIAN BEAUMONT LEGAL"
"Department of Human Services","58107780683",60313,"Recruitment Services","Open tender","Legal services","Legal services",6,271201.35,126688.3,144513.05,0,"GILLIAN BEAUMONT LEGAL"
"Department of Immigration and Citizenship","58134662963",1276000,"IT Secuity Contractor Services","Open tender","Components for information technology or broadcasting or telecommunications","Components for information technology or broadcasting or telecommunications",1,1276000,0,1276000,0,"Saltbush Consulting Pty Ltd"
"Australian Communications and Media Authority (ACMA)","58134662963",19800,"Vulnerability Assessment for Project PACMAN","Open tender","Risk management consultation services","Risk management consultation services",3,47520,13200,34320,0,"Saltbush Consulting Pty Ltd"
"Department of Human Services","58134662963",620620,"IT Specialist Services by Specified Personnel","Open tender","Computer services","Computer services",5,1760132,0,1760132,0,"Saltbush Consulting Pty Ltd"
"Department of Infrastructure and Transport","58134662963",82390,"Agency Security Plan & Physical Security","Open tender","Management advisory services","Management advisory services",8,267401.7,0,267401.7,0,"Saltbush Consulting Pty Ltd"
"Department of Regional Australia, Local Government, Arts and Sport","58134662963",11000,"Threat risk analysis for Garema Court Canberra","Open tender","Components for information technology or broadcasting or telecommunications","Components for information technology or broadcasting or telecommunications",1,11000,0,11000,0,"Saltbush Consulting Pty Ltd"
"AusAid","58134662963",42240,"Corporate Services - ICT security compliance","Open tender","Information technology consultation services","Information technology consultation services",1,42240,0,42240,0,"Saltbush Consulting Pty Ltd"
"Department of Broadband Communications and the Digital Economy","58134662963",32725,"Security assessment","Open tender","Network security equipment","Corporate objectives or policy development",3,77825,45100,32725,0,"Saltbush Consulting Pty Ltd"
"Australian Bureau of Statistics","58134662963",89760,"Security review of Anywhere Anytime Any device&nbsp; access project","Open tender","Business administration services","Business administration services",2,165990,76230,89760,0,"Saltbush Consulting Pty Ltd"
"CrimTrac","58134662963",269280,"Consultancy to assess business system compliance with ISM requirments","Limited tender","Management advisory services","Management advisory services",1,269280,269280,0,0,"Saltbush Consulting Pty Ltd"
"Austrade","58134662963",93632,"Develop new IT policy framework","Open tender","Information technology consultation services","Information technology consultation services",1,93632,0,93632,0,"Saltbush Consulting Pty Ltd"
"Department of Agriculture Fisheries and Forestry","58134662963",3e+05,"Review and provision of a threat risk assessments and security system plan","Open tender","Risk management consultation services","Temporary personnel services",3,413602.5,0,413602.5,0,"Saltbush Consulting Pty Ltd"
"Attorney-General's Department","58134662963",71280,"Contract Services","Open tender","Temporary personnel services","Temporary personnel services",9,246231.39,0,246231.39,0,"Saltbush Consulting Pty Ltd"
"Department of Veterans' Affairs","58134662963",470800,"DVA Work Orders - ICTSG CSP - 2011/024Agremenet was extended until the 230/6 June.2012","Open tender","Computer services","Computer services",6,1364200,72600,1291600,0,"Saltbush Consulting Pty Ltd"
"Department of the Prime Minister and Cabinet","58134662963",31680,"IT Services","Open tender","Enhanced telecommunications services","Enhanced telecommunications services",2,47520,0,47520,0,"Saltbush Consulting Pty Ltd"
"Department of Parliamentary Services","58134662963",18480,"Risk Management Plan for the Parliament House Network","Limited tender","Communications Devices and Accessories","Communications Devices and Accessories",1,18480,18480,0,0,"Saltbush Consulting Pty Ltd"
"Department of Families, Housing, Community Services and Indigenous Affairs","58134662963",86295,"Annual Threat and Risk Assessment 2012","Open tender","Business administration services","Business administration services",2,110990,24695,86295,0,"Saltbush Consulting Pty Ltd"
"IP Australia","58134662963",48840,"ICT Security Report","Open tender","Computer services","Computer services",1,48840,0,48840,0,"Saltbush Consulting Pty Ltd"
"Australian Crime Commission","58134662963",644776,"ICT Infrastructure Services","Open tender","Information technology consultation services","Information technology consultation services",2,699776,0,699776,0,"Saltbush Consulting Pty Ltd"
"Australian Transport Safety Bureau","58134662963",90000,"PSPF Compliance","Limited tender","Management advisory services","Management advisory services",5,181148,126200,0,54948,"Saltbush Consulting Pty Ltd"
"Department of Climate Change and Energy Efficiency","58134662963",6e+05,"ICT Services","Open tender","Information technology consultation services","Information technology consultation services",2,623000,23000,6e+05,0,"Saltbush Consulting Pty Ltd"
"Department of Industry, Innovation, Science, Research and Tertiary Education","58134662963",22949.3,"IRAP Assessment of ABLIS","Limited tender","Temporary personnel services","Project management",2,34565.3,34565.3,0,0,"Saltbush Consulting Pty Ltd"
"Department of Climate Change and Energy Efficiency","59000694173",23269.4,"Air Conditioning Controls Upgrade 2 Constitution Avenue","Limited tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,23269.4,23269.4,0,0,"Haden Engineering"
"Director of National Parks","59000694173",208360.5,"Provision of Facilities Maintenance Services at the Australian National Botanic Gardens","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,208360.5,0,208360.5,0,"Haden Engineering"
"Administrative Appeals Tribunal","59000694173",21570.93,"Purchase and Install new Air-conditioner for the AAT server room","Limited tender","Air conditioners","Air conditioners",2,37608.93,37608.93,0,0,"Haden Engineering"
"Department of Agriculture Fisheries and Forestry","59000694173",195272,"Provision of air conditioning.","Limited tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,195272,195272,0,0,"Haden Engineering"
"Department of Human Services","59000694173",14069,"Maintenance and Repairs at Perth, WA","Limited tender","Computer hardware maintenance or support","Computer hardware maintenance or support",1,14069,14069,0,0,"Haden Engineering"
"Australian National Audit Office (ANAO)","59000694173",11450,"Non Gazettal","Prequalified tender","General building and office cleaning and maintenance services","General building and office cleaning and maintenance services",1,11450,0,0,11450,"Haden Engineering"
"Department of Industry, Innovation, Science, Research and Tertiary Education","59000694173",10829.5,"Cake Fridge for Questacon Cafe","Limited tender","Service Industry Machinery and Equipment and Supplies","Service Industry Machinery and Equipment and Supplies",1,10829.5,10829.5,0,0,"Haden Engineering"
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division","59000694173",403766.64,"Haden FM contract fees FY12/13","Open tender","Management and provision of all facilities engineering modification and maintenance services for a site or platform","Interior finishing materials",26,1836070.47,477371.12,1358699.35,0,"Haden Engineering"
"Department of Regional Australia, Local Government, Arts and Sport","59000694173",130000,"National Portrait Gallery - Maintenance on hot water system","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,130000,0,130000,0,"Haden Engineering"
"Department of the Treasury","59001777591",341000,"Payment of base rent, outgoings, cleaning & car parking 50 Bridge Street Sydney","Prequalified tender","Lease and rental of property or building","Lease and rental of property or building",2,682000,0,0,682000,"AMP Capital Investors Ltd"
"Department of Human Services","59001777591",684001.74,"Lease at Broadbeach, QLD (Medicare 153)","Open tender","Lease and rental of property or building","Lease and rental of property or building",2,1322271.56,0,1322271.56,0,"AMP Capital Investors Ltd"
"Australian Customs and Border Protection Service","59004027749",1511654.29,"125102 - Property Lease","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,1511654.29,1511654.29,0,0,"Trust Company Ltd"
"Department of Human Services","59004027749",669917,"Lease at Shellharbour, NSW&nbsp; (Medicare 85)","Open tender","Lease and rental of property or building","Lease and rental of property or building",4,1337668.63,42886.8,1294781.83,0,"Trust Company Ltd"
"Department of Defence","59004232679",360099.5,"Charter of Windermere","Limited tender","Commercial marine craft","Commercial marine craft",1,360099.5,360099.5,0,0,"P&O Maritime Services Pty Ltd"
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division","59004232679",15761037.85,"Charter of RSV Aurora Australia for 2012/13 shipping season","Open tender","Marine transport","Marine transport",5,16051503.16,279115.41,15772387.75,0,"P&O Maritime Services Pty Ltd"
"Department of Defence","59004275183",256498,"Manufacture of Medals Contract","Open tender","Medals","Medals",10,832991.5,576493.5,256498,0,"CASH'S (AUSTRALIA) PTY LTD"
"Office of the Official Secretary to the Governor-General","59004275183",153604,"NATIONAL POLICE SERVICE MEDAL SET &amp; MAIN PIECE","Open tender","Medals","Medals",9,648293.78,182509.78,465784,0,"CASH'S (AUSTRALIA) PTY LTD"
"Australian Federal Police","59004275183",12100,"Supply of AFP medals and ribbons","Open tender","Medals","Medals",1,12100,0,12100,0,"CASH'S (AUSTRALIA) PTY LTD"
"Defence Materiel Organisation","59004275183",378522.21,"Metal Insignia","Open tender","Uniforms","Clothing",6,700732.55,0,700732.55,0,"CASH'S (AUSTRALIA) PTY LTD"
"Department of Human Services","59007406206",80630,"Fitout Management at Batemans Bay, NSW","Open tender","Building support services","Architectural services",43,1198168.17,151424,302970.03,743774.14,"James Millar Architects"
"Australian Bureau of Statistics","59008622464",178038,"Pricing information for the Building Price Index","Open tender","Statistics","Statistics",1,178038,0,178038,0,"RIDER LEVETT BUCKNALL ACT PTY LTD"
"National Capital Authority","59008622464",35200,"NATIONAL WORKERS MEMORIAL - Quantity Surveyor Consultancy - cost planning as part of Head Consultancy","Limited tender","Building support services","Building support services",1,35200,35200,0,0,"RIDER LEVETT BUCKNALL ACT PTY LTD"
"Australian Customs and Border Protection Service","59008622464",30000,"CMO028112 - AUC - Property","Limited tender","Property management services","Property management services",2,43546.5,43546.5,0,0,"RIDER LEVETT BUCKNALL ACT PTY LTD"
"Australian Federal Police","59008622464",466228.4,"Provision of quantity survey services","Open tender","Strategic planning consultation services","Management advisory services",2,476678.4,0,476678.4,0,"RIDER LEVETT BUCKNALL ACT PTY LTD"
"Department of Foreign Affairs and Trade","59008622464",169415,"Provision of Management Advisory Services","Open tender","Management advisory services","Management advisory services",7,394480.11,0,394480.11,0,"RIDER LEVETT BUCKNALL ACT PTY LTD"
"Department of Regional Australia, Local Government, Arts and Sport","59008622464",19800,"Quantity surveying services for Drumsite Village house project - Christmas Island","Limited tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,19800,19800,0,0,"RIDER LEVETT BUCKNALL ACT PTY LTD"
"Department of Defence","59010126100",5365188.06,"R5043 RAAF Edinburgh Revelopment Stage 2 head contract package 1 civil works, variations","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",11,14200775.77,0,14200775.77,0,"BMD CONSTRUCTIONS PTY LTD"
"Australian Electoral Commission","59081216220",4361000,"Lease for Parramatta Area Office","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,4361000,4361000,0,0,"Smith Street Developments Pty Ltd"
"Office of National Assessments","59082449563",10270,"Venue hire and catering","Limited tender","Conference centres","Conference centres",1,10270,10270,0,0,"Hudsons Catering Pty Ltd"
"Department of Foreign Affairs and Trade","59082449563",11080,"Provision of Banquet and Catering Services","Open tender","Banquet and catering services","Banquet and catering services",1,11080,0,11080,0,"Hudsons Catering Pty Ltd"
"Department of Defence","59082449563",33200,"Conference Farewell Dinner","Limited tender","Banquet and catering services","Banquet and catering services",3,60550,60550,0,0,"Hudsons Catering Pty Ltd"
"Department of Veterans' Affairs","59082449563",26411,"Catering at the Australian War Memorial for the SES-EL Forum 30-31 October and 1 November 2012.","Limited tender","Banquet and catering services","Banquet and catering services",2,52342,52342,0,0,"Hudsons Catering Pty Ltd"
"Australian War Memorial","59082449563",1500000,"Provision of Catering and Functions Management Services","Open tender","Restaurants and catering","Restaurants and catering",1,1500000,0,1500000,0,"Hudsons Catering Pty Ltd"
"Defence Materiel Organisation","59082449563",10739,"Catering services","Limited tender","Restaurants and catering","Restaurants and catering",1,10739,10739,0,0,"Hudsons Catering Pty Ltd"
"Department of Parliamentary Services","59084010784",225305.3,"Loading Dock Security Upgrade Part 01 and Part 02 Civil Works at Parliament House","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",5,346331.17,0,0,346331.17,"Simeonov Civil Engineering (ACT)"
"National Capital Authority","59084010784",1782295.16,"Construction of Archives and Langton Driveway and Parking Works","Prequalified tender","General building construction","General building construction",1,1782295.16,0,0,1782295.16,"Simeonov Civil Engineering (ACT)"
"Defence Materiel Organisation","59086314883",1320777,"Development and Upgrade of Software","Open tender","Software","Software",12,3369139.48,2028342.48,1340797,0,"OCEAN SOFTWARE PTY LTD"
"Attorney-General's Department","59086726374",17600,"Shrimp Business Analyst #2","Open tender","Temporary personnel services","Temporary personnel services",1,17600,0,17600,0,"Interpro Australia Pty Ltd"
"Australian Securities and Investments Commission","59086726374",346960,"Engagement of IT Consultant - 2012/004 - A3622402 / A3622007 [ECM A3305597]","Open tender","Information technology consultation services","Information technology consultation services",3,506520,0,506520,0,"Interpro Australia Pty Ltd"
"Department of Veterans' Affairs","59086726374",178200,"DVA ICTSG 2011/165 - Solutions Architect","Open tender","Computer services","Computer services",5,464457,0,464457,0,"Interpro Australia Pty Ltd"
"Department of Industry, Innovation, Science, Research and Tertiary Education","59086726374",154501.6,".Net Developer for Unique Student Identifier Initiative","Open tender","Temporary personnel services","Temporary personnel services",1,154501.6,0,154501.6,0,"Interpro Australia Pty Ltd"
"Department of Immigration and Citizenship","59086726374",220000,"ICT Contractor Services","Open tender","Computer services","Computer services",1,220000,0,220000,0,"Interpro Australia Pty Ltd"
"National Archives of Australia","59086726374",37576,"Contractor , Service Desk Manager","Open tender","Temporary personnel services","Temporary personnel services",1,37576,0,37576,0,"Interpro Australia Pty Ltd"
"Department of Human Services","59086726374",150480,"IT Specialist Services by Specified Personnel","Open tender","Computer services","Computer services",2,245520,0,245520,0,"Interpro Australia Pty Ltd"
"Australian Taxation Office","59086726374",110000,"Provision of IT Contractor Services","Open tender","Computer programmers","Computer programmers",3,275000,0,275000,0,"Interpro Australia Pty Ltd"
"Department of Defence","59110544753",20835.36,"Supply & Install Electronic Key Watcher","Limited tender","Electronic hardware and component parts and accessories","Electronic hardware and component parts and accessories",2,40508.75,40508.75,0,0,"SECURITY & TECHNOLOGY SERVICES"
